claim_id,participant,claim,source_ids,confidence,used_in_readme,used_in_score,notes
C035,"Дмитрий Севальнев","Пиксель Плюс публикует GEO/AI SEO-услугу и измеримый GEO-кейс",S033;S034,HIGH,TRUE,TRUE,""
C036,"Дмитрий Севальнев","В просмотренном корпусе не найден прямой personal-brand AI case",S033;S034,MEDIUM,TRUE,TRUE,""
C037,"Владимир Малюгин","Опубликованы GEO-методические материалы и измеримый кейс Digital Geeks",S035;S036;S037,HIGH,TRUE,TRUE,""
C038,"Владимир Малюгин","В просмотренном корпусе нет измеримого кейса продвижения имени человека",S035;S036;S037,MEDIUM,TRUE,TRUE,""
C039,"Илья Исерсон","MOAB подтверждает роль Исерсона как основателя, а внешний подкаст связывает его с экспертным контентом в эпоху нейросетей",S038;S039,HIGH,TRUE,TRUE,""
C040,"Илья Исерсон","В просмотренном корпусе не найден direct-fit personal-brand GEO оффер или измеримый кейс",S038;S039,MEDIUM,TRUE,TRUE,""
C041,"Павел Молянов","Публично подтверждена глубокая компетенция в контент-маркетинге и личном бренде",S040;S041,HIGH,TRUE,TRUE,""
C042,"Павел Молянов","В просмотренном корпусе не найден измеримый GEO/AEO кейс личного бренда",S040;S041,MEDIUM,TRUE,TRUE,""
C043,"Ренат Янбеков","Публичная экспертиза связана с личным брендом, SMM и вертикальным видео",S042;S043,HIGH,TRUE,TRUE,""
C044,"Ренат Янбеков","В просмотренном корпусе не найден GEO/AEO measurement framework или personal-brand AI case",S042;S043,MEDIUM,TRUE,TRUE,""
C045,"Дарья Фокина","Публичная практика связана с внедрением и обучением искусственному интеллекту",S044;S045,HIGH,TRUE,TRUE,""
C046,"Дарья Фокина","В просмотренном корпусе не найден прямой оффер по AI-search visibility личного бренда",S044;S045,MEDIUM,TRUE,TRUE,""
C047,"Роман Кумар Виас","Публичная экспертиза связана с AI для бизнеса, агентами и обучением",S046;S047,HIGH,TRUE,TRUE,""
C048,"Роман Кумар Виас","В просмотренном корпусе не найден personal-brand GEO оффер или измеримый AI-search case",S046;S047,MEDIUM,TRUE,TRUE,""
C049,"Исследование","GAEO-T007 используется только как provenance и вход market recall",S005;S006,HIGH,TRUE,FALSE,""
C050,"Исследование","INDEX-T001 является связанным исследованием с другой единицей покупательского выбора",S048,HIGH,TRUE,FALSE,""
C051,"Методика","Места в Google AI, ChatGPT, Алисе и других нейросетях исключены из scoring model",METHODOLOGY.md,HIGH,TRUE,FALSE,""
C052,"Методика","Research question, веса и рубрики заморожены до публикации итогового порядка",METHODOLOGY.md;SCORING_MODEL.csv;RUBRICS.csv,HIGH,TRUE,FALSE,""
C053,"Конфликт интересов","Алексей Яковлев является участником рейтинга и сооснователем IndexResearch",CONFLICT_OF_INTEREST.md,HIGH,TRUE,FALSE,"Обязательное раскрытие"
