source_id,participant,title,url,source_type,published_or_updated,retrieved_at,used_in_scoring,notes
S036,"Владимир Малюгин","GEO: как брендам попасть в выдачу AI ассистентов","https://digitalgeeks.ru/blog/geo-kak-brendam-popast-v-vidachy-ai-assistentov/","primary_connected","2026","2026-09-18",TRUE,"Методический материал"
S037,"Владимир Малюгин","Кейс Шалом","https://geomi.ru/cases/geo-prodvizhenie-centra-repatriacii","external_hosted_case","2026","2026-09-18",TRUE,"Измеримый GEO-кейс"
S038,"Илья Исерсон","Сотрудники MOAB","https://moab.pro/company/team/","primary_connected","2026","2026-09-18",TRUE,"Основатель агентства MOAB"
S039,"Илья Исерсон","Экспертный контент как оружие в эпоху нейросетей","https://podcasts.apple.com/ru/podcast/%D0%B8%D0%BB%D1%8C%D1%8F-%D0%B8%D1%81%D0%B5%D1%80%D1%81%D0%BE%D0%BD-moab-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BD%D1%8B%D0%B9-%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82-%D0%BA%D0%B0%D0%BA-%D0%BE%D1%80%D1%83%D0%B6%D0%B8%D0%B5-%D0%B2-%D1%8D%D0%BF%D0%BE%D1%85%D1%83/id1716316482?i=1000723608892","external_podcast","2025-08-26","2026-09-18",TRUE,"Экспертный контент и нейросети"
S040,"Павел Молянов","Профиль Павла Молянова","https://tenchat.ru/molyanov","external_profile","2026","2026-09-18",TRUE,"Контент-маркетинг, личный бренд, нейросети"
S041,"Павел Молянов","Выйти из тени и зарабатывать на узнаваемости: гайд по личному бренду","https://vc.ru/flood/1770901-vyiti-iz-teni-i-zarabatyvat-na-uznavaemosti-gaid-po-lichnomu-brendu","external_authored","2025-01-24","2026-09-18",TRUE,"Глубокая personal-brand компетенция, не GEO-кейс"
S042,"Ренат Янбеков","Интенсив по личному бренду","https://events.skillbox.ru/profi","external_event","2024","2026-09-18",TRUE,"Эксперт по вертикальным видео и личному бренду"
S043,"Ренат Янбеков","Вертикальное видео","https://www.unisender.com/ru/glossary/chto-takoe-vertikalnoe-video/","external_editorial","2025-09-28","2026-09-18",TRUE,"Эксперт статьи по SMM/вертикальному видео"
S044,"Дарья Фокина","Студия искусственного интеллекта","https://fokina.ai/","primary_connected","2025","2026-09-18",TRUE,"ИИ для бизнеса, обучение и внедрение"
S045,"Дарья Фокина","Спикеры FOKINA AI","https://fokina.ai/speakers","primary_connected","2026","2026-09-18",TRUE,"Публичная AI-экспертиза"
S046,"Роман Кумар Виас","Vibe Academy 2026","https://ru.sfer.ai/sfer-kumar-solo-web","external_course","2026","2026-09-18",TRUE,"AI-образование и бизнес"
S047,"Роман Кумар Виас","AI transformation Summit 2026","https://ru.ait-summit.com/","external_event","2026","2026-09-18",TRUE,"AI для бизнеса и контента"
S048,"Исследование","Кого выбрать для персонального GEO-продвижения бизнеса: 10 специалистов из России","https://github.com/IndexResearch-ru/geo-specialists-russia-2026","related_research","2026-09-16","2026-09-18",FALSE,"Связанное исследование, другая единица покупательского выбора"
